rank,rating,date,user,content,helpful_count,images,option_info,product_name
39,4,25.07.15.,dltm*****,젤도 좋고 폼도 좋아요! 계속 구매해서 쓰게되네요,0,https://phinf.pstatic.net/checkout.phinf/20250715_216/1752576068937mpDGJ_JPEG/image.jpg?type=f300_300,옵션: (젤타입)락스와세제후로랄파인750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
40,5,25.07.19.,jjgi****,밤에 주문했는데 다음날 바로오네요,0,https://phinf.pstatic.net/checkout.phinf/20250719_7/1752935590361B008p_JPEG/1000006420.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
41,4,25.07.21.,punk******,폼타입 쓰다가 젤타입이 더 편할 것 같아서 구입해봤어요~ 홈스타 제품이 사용하기 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250721_149/1753058576724OleFG_JPEG/IMG_8831.jpeg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
42,5,25.07.21.,kyun******,깔끔하게  잘 닦여서 늘 구매하는제품입니다.향도 강하지 않아  좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250721_255/1753053720156IQXDU_JPEG/1000013665.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
43,5,25.07.04.,syos*****,다*소 가격에  집으로 택배를 받으니 좋아요. 세제는 몇년동안 계속 사용하고 있는거라 설명이 필요없어요. 하루만에 배송되었어요. 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250704_66/1751610760221UhwCm_JPEG/1751610729039.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
44,5,25.07.11.,bea4***,급해서 샀어요~여름이라 화장실 청소할때 많이 쓰게 되는데..잘쓸께요 쓰고 좋으면 이걸로 갈아 탈께요 배송 빠르게 잘 왔어요,0,https://phinf.pstatic.net/checkout.phinf/20250711_273/1752207766427joNwY_JPEG/IMG_7621.jpeg?type=f300_300,옵션: (젤타입)락스와세제후로랄파인750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
45,5,25.07.17.,mern****,저렴하게 잘 샀어요! 욕실청소 이거 하나면 든든합니당,0,https://phinf.pstatic.net/checkout.phinf/20250717_117/1752714703128BKf5Q_JPEG/20250715_200855.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
46,5,25.07.17.,kyou******,생각보다 락스냄새가 엄청 연하게나서 신기했어요! 청소는 잘됩니다,0,https://phinf.pstatic.net/checkout.phinf/20250717_216/1752678713431BggHI_JPEG/1000046579.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
47,5,25.07.17.,jjya***,화장실 청소에 이 세제가 젤 좋네요. 쓰기 편해요,0,https://phinf.pstatic.net/checkout.phinf/20250717_298/1752730462871XJdt5_JPEG/1752730449406.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
48,5,25.07.10.,yik0***,"화장실, 욕실청소에 딱이예요
뿌리고 솔로 삭삭~!!문지르고 물뿌리면 깔끔
다른 세제보다 세척 잘되고 향도 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250710_209/1752145582400Evri1_JPEG/1000030359.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
49,5,25.07.19.,wg****,친정엄마사드렸어요.냄새두 강하지않구 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250719_11/17528912034404DERM_JPEG/1752891158209.jpg?type=f300_300,옵션: (젤타입)락스와세제후로랄파인750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
50,5,25.07.18.,youn****,여기가 젤 저렴하네요~잘쓰겠습니당,0,https://phinf.pstatic.net/checkout.phinf/20250718_182/1752815962605Nv9Ae_JPEG/IMG_4461.jpeg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
51,4,25.07.20.,sjsj****,사용하기도 편하고 효과도 좋네요,0,https://phinf.pstatic.net/checkout.phinf/20250720_14/1753001756373tVO8u_JPEG/1000025853.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
52,5,25.07.17.,nety****,배송빠릅니다.   늘사용해요,0,https://phinf.pstatic.net/checkout.phinf/20250717_51/1752727358440mz70G_JPEG/image.jpg?type=f300_300,옵션: (젤타입)락스와세제후로랄파인750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
53,5,25.07.11.,ahrl******,"가성비 좋게 잘 샀어요^^
화장실 청소할 때 항상 유용하게 쓰고 있어요.",0,https://phinf.pstatic.net/checkout.phinf/20250711_198/1752216092085NtiWJ_JPEG/2848.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
54,5,25.07.19.,hrho******,보라색쓰다가 이거로 한번바꿔보려고 구매했어요,0,https://phinf.pstatic.net/checkout.phinf/20250719_128/1752898885473FF3qY_JPEG/1752898843619.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
55,5,25.07.20.,fab2****,끝부분이 뾰족해서 줄눈 청소하기 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_129/17530163826689yISG_JPEG/1753016342504.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
56,5,25.07.09.,cf****,"오염 잘 지워져요. 세정력 우수합니다.
거품이 생각보다 많이 나서 처음에 조금 놀랐네요.",0,https://phinf.pstatic.net/checkout.phinf/20250709_286/1752057953262f9K1T_JPEG/image.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
57,5,25.07.15.,ss****,화장실용으로 제일 만족하는 제품입니다 ㆍ간편하게  사용하기 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_76/1752561599612lSGzL_JPEG/1752561556313.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
58,5,25.07.07.,feel*******,배송도 빠르고 좋아요. 잘쓰겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250707_296/1751859998953rRTTM_JPEG/IMG_6884.jpeg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
59,4,25.07.15.,dltm*****,젤도 좋고 폼도 좋아요! 계속 구매해서 쓰게되네요,0,https://phinf.pstatic.net/checkout.phinf/20250715_216/1752576068937mpDGJ_JPEG/image.jpg?type=f300_300,옵션: (젤타입)락스와세제후로랄파인750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
60,5,25.07.19.,jjgi****,밤에 주문했는데 다음날 바로오네요,0,https://phinf.pstatic.net/checkout.phinf/20250719_7/1752935590361B008p_JPEG/1000006420.jpg?type=f300_300,옵션: (젤타입)락스와세제허벌시트러스750ml 4개,홈스타 락스와세제 허벌시트러스 750ml 4개
