rank,rating,date,user,content,helpful_count,images,option_info,product_name
40,5,25.06.21.,yoon*******,좋을거같아요 기대되네오,0,https://phinf.pstatic.net/checkout.phinf/20250621_111/17505109365364Jxzs_JPEG/20250621_204309.jpg?type=f300_300,옵션: 오리지널2.2L2개+부스터5입+피오니로즈,[황변얼룩제거/겸용] 피지 디나자임 딥클린 세탁세제 용기2.2L 2개(오리지널)+탈취99 실내건조 프레시 300ml 증정
41,5,25.07.15.,jins*********,배송도 빠르고 포장도 꼼꼼하게 잘 되어 있어서 만족합니다. 믿고 구매할 수 있을 것 같아요! 제품 퀄리티도 좋아요! 가성비 최고입니다. 고민하시는 분들께 추천드립니다! 다음에도 또 구매할게요! 감사합니다.,0,https://phinf.pstatic.net/checkout.phinf/20250715_82/1752568284177WHDoS_JPEG/image.jpg?type=f300_300,옵션: 오리지널2.2L2개+부스터5입+피오니로즈,[황변얼룩제거/겸용] 피지 디나자임 딥클린 세탁세제 용기2.2L 2개(오리지널)+탈취99 실내건조 프레시 300ml 증정
42,5,25.07.18.,kmm9***,공홈에서 사니 사은품도 주고 할인도 해줘서 좋네요. 기한도 넉넉해요,0,https://phinf.pstatic.net/checkout.phinf/20250718_215/1752812876865lUOPW_JPEG/IMG_7997.jpeg?type=f300_300,옵션: 프레쉬2.7L2개+부스터5입+피오니로즈,[황변얼룩제거/겸용] 피지 디나자임 딥클린 세탁세제 용기2.2L 2개(오리지널)+탈취99 실내건조 프레시 300ml 증정
43,5,25.07.01.,keil****,"한번 사용했어요..은은하게  향도 있구요..
중딩 아들 체육복은 살짝 꼬릿한냄새가 나는거 같기도 하고,좀더 써봐야 할듯 해요.
일단 나쁘진 않아요.",0,https://phinf.pstatic.net/checkout.phinf/20250701_99/1751342521538sA3A9_JPEG/1000006245.jpg?type=f300_300,옵션: 프레쉬2.7L2개+부스터5입+피오니로즈,[황변얼룩제거/겸용] 피지 디나자임 딥클린 세탁세제 용기2.2L 2개(오리지널)+탈취99 실내건조 프레시 300ml 증정
44,5,25.07.17.,sang*****,향기 좋고 믿고 사용할 것같아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_255/1752747676280xisea_JPEG/IMG_9204.jpeg?type=f300_300,옵션: 프레쉬2.7L2개+부스터5입+피오니로즈,[황변얼룩제거/겸용] 피지 디나자임 딥클린 세탁세제 용기2.2L 2개(오리지널)+탈취99 실내건조 프레시 300ml 증정
45,5,25.07.13.,8282********,일단 써볼게요 ㅋ 기대됩니다,0,https://phinf.pstatic.net/checkout.phinf/20250713_48/1752403033709vlW0j_JPEG/1000013093.jpg?type=f300_300,옵션: 프레시2.2L2개+부스터5입+피오니로즈,[황변얼룩제거/겸용] 피지 디나자임 딥클린 세탁세제 용기2.2L 2개(오리지널)+탈취99 실내건조 프레시 300ml 증정
46,5,25.07.15.,arc0***,세탁세제 유목민이었는데 피지로 정착!!,0,https://phinf.pstatic.net/checkout.phinf/20250715_295/1752585843661OXD7Y_JPEG/1000029219.jpg?type=f300_300,옵션: 오리지널2.2L2개+부스터5입+피오니로즈,[황변얼룩제거/겸용] 피지 디나자임 딥클린 세탁세제 용기2.2L 2개(오리지널)+탈취99 실내건조 프레시 300ml 증정
47,5,25.06.30.,ce****,세제는 피지가 좋아요~빠른 배송도 굿!,0,https://phinf.pstatic.net/checkout.phinf/20250630_33/1751281703955gUt0L_JPEG/1000037942.jpg?type=f300_300,옵션: 프레시2.2L2개+부스터5입+피오니로즈,[황변얼룩제거/겸용] 피지 디나자임 딥클린 세탁세제 용기2.2L 2개(오리지널)+탈취99 실내건조 프레시 300ml 증정
48,5,25.06.12.,tpdm*****,원래 쓰던 세제인데 여러 향기중 이게 제일 멀미 안나고 잘 빨린 빨래 같은 향기가 나서 제일 좋아하는 세제입니다! 여름에 진짜 습도 높고 꿉꿉한 실내 아니면 왠만한 환경에서는 진짜 냄새도 안나고 잘 빨려요. 강추입니다!,0,https://phinf.pstatic.net/checkout.phinf/20250612_102/1749689393773hNOI6_JPEG/11.JPG?type=f300_300,옵션: 프레시2.2L2개+부스터5입+피오니로즈,[황변얼룩제거/겸용] 피지 디나자임 딥클린 세탁세제 용기2.2L 2개(오리지널)+탈취99 실내건조 프레시 300ml 증정
49,5,25.06.26.,atd1***,"세제를 열자마자 퍼지는 은은한 향이 기분 좋습니다. 너무 강하지 않아서 숙소처럼 여러 사람이 사용하는 공간에서도 부담 없이 사용할 수 있고, 세탁 후에도 옷에 잔잔하게 향이 남아 오래도록 산뜻한 느낌이 이어져요.",0,,옵션: 프레시2.2L2개+부스터5입+피오니로즈,[황변얼룩제거/겸용] 피지 디나자임 딥클린 세탁세제 용기2.2L 2개(오리지널)+탈취99 실내건조 프레시 300ml 증정
