rank,rating,date,user,content,helpful_count,images,option_info,product_name
61,5,25.07.20.,beat****,이거 너무 좋아요. 배관에 무리가 가지 않으면서 손도 안대고 깨끗해집니다..벌써 몇번째 구입인지 몰라용... 박스가 생각보다 크긴하지만 플라스틱컵? 같은거 없이 내용물만 팔아주셔도 좋을거같앙여. 한번쓰고 버리기 아깝더라구영,1,https://phinf.pstatic.net/checkout.phinf/20250720_257/1752983495705EypOs_JPEG/tmp_6012067410337023071.jpg?type=f300_300,옵션: 싱크대 배수관 클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
62,5,25.07.10.,brls****,"화장실 냄새가 너무 심해서 구매해봤습니다. 
처음에 거품이 많이 생성됐다가 시간이 지나면 사진처럼 조금만 남게 되네요. 하수구 청소를 주기적으로 해주려하는데 효과가 좋길 바랍니다.",0,https://phinf.pstatic.net/checkout.phinf/20250710_110/1752125373420Hm11r_JPEG/IMG_9644.jpeg?type=f300_300,옵션: 욕실 하수구 클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
63,4,25.05.17.,ydas****,"오랜만에 배수구 청소해보고 싶어서 세트로 구매하게 되었습니다! 이미 리뷰들을 봐서 클리너 하고도 더 청소 해야되는 걸 알았지만 막상 하려니 귀찮더라구요ㅎㅎ 혐짤이라 모자이크 해놨는데 전후 비교하면 확실히 깨끗해지긴 하지만 때 완전 제거는 안되고 불리는 정도는 되는 것 같아요. 클리너 없이 그냥 열어서 했으면 더 더러웠겠죠?😅
싱크대는 싱크대가 저희 집보다 커서 제공된 플라스틱 통이 들어가는 사이즈인 분들이 사는게 좋을 것 같고, 세면대는 만족스럽구요, 욕실은 가끔씩 써볼만한거 같아요.
아, 이거 쓸 때 환기 잘 해두고 하세요~ 세진 않지만 그래도 살짝 머리 아플 수 있어요!

근데 네이버 리뷰 왜 자꾸 제가 찍은 사진이 아니라고 나오나요.. 사진 올리다 엎을뻔 했어여",1,https://phinf.pstatic.net/checkout.phinf/20250517_169/1747408785133foYgA_JPEG/1000057007.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+락스1L,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
64,5,25.07.20.,hani****,"토요일 오후에 주문해서 일요일 오전에 받았어요! 배송 꼼꼼히해서 보내주셨습니다. 한달에 한번씩은 사용해주고 있어요, 변기는 자주 청소해서 쓸일 없을까 했는데 한번 해보니 아주 좋네요!",0,https://phinf.pstatic.net/checkout.phinf/20250720_272/17530113068377tVyK_JPEG/IMG_1950.jpeg?type=f300_300,옵션: 욕실 하수구 클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
65,5,25.07.20.,hani****,"토요일 오후에 주문해서 일요일 오전에 받았어요! 배송 꼼꼼히해서 보내주셨습니다. 한달에 한번씩은 사용해주고 있어요, 변기는 자주 청소해서 쓸일 없을까 했는데 한번 해보니 아주 좋네요!",0,https://phinf.pstatic.net/checkout.phinf/20250720_112/1753011178196APuDr_JPEG/IMG_1950.jpeg?type=f300_300,옵션: 변기클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
66,5,25.07.05.,teuk****,"화장실 아무리 청소해도 냄새 나서 배수관 때문이죠 ㅠㅠ 사람 불으면 비싼데 이거 한 세트 주문하면 모두 해결합니다! 변기, 세면대, 하수구 한꺼번에 하는 것 아주 추천합니다~~~",0,https://phinf.pstatic.net/checkout.phinf/20250705_156/17517013199633uOvI_JPEG/1000057437.jpg?type=f300_300,옵션: (욕실+세면대+변기)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
67,5,25.07.15.,ehru******,재재재 구매탬이에요 사용하면 여름에 초파리나 악취도 전혀 없어요 가격대가 있지만 가장 편리한 것 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_141/1752585996442iJmMs_JPEG/IMG_4010.jpeg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
68,5,25.07.08.,h_le****,심하게 막힌 하수구 뚫을때는 이것만한게 없네요 평균 규격보다 하수구가 작은 집에 살다보니까 자주 막히는데 이 제품이 가장 효과가 좋았어요 배송도 빠르고 가격도 저렴해서 좋네요,0,https://phinf.pstatic.net/checkout.phinf/20250708_48/17519511961390gPg9_JPEG/1000002352.jpg?type=f300_300,옵션: 욕실 하수구 클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
69,5,25.07.15.,nala****,배송이 빠르고 제품도 잘 도착했어요 두달에 한번 정도 쓰는데 쓰기도 편하고 효과도 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_43/1752580460742BOftF_JPEG/1000010355.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
70,4,25.07.20.,plgo******,나쁘지 않은 것 같아요. 그래도 손으로 청소하는 부분은 필요합니다..!,0,https://phinf.pstatic.net/checkout.phinf/20250720_33/1753016822791ot9X9_JPEG/image.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
71,5,25.07.04.,tj****,"세면대용만 먼저 써봤는데 효과 있는거 같아요!
다른 것들도 기대가 됩니다",0,https://phinf.pstatic.net/checkout.phinf/20250704_220/1751637682839SFoNS_JPEG/IMG_4170.jpeg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
72,5,25.07.10.,brls****,"이전에 변기와 세면대에 한번 써봤는데 효과가 괜찮아서 재구매했습니다. 
효과가 좋길 바랍니다.",0,https://phinf.pstatic.net/checkout.phinf/20250710_164/175212561174610jqW_JPEG/IMG_9644.jpeg?type=f300_300,옵션: (변기 2개+세면대)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
73,5,25.07.19.,love****,여름철에는 더 자주 필요한 제품들이죠! 잘 쓰고 있습니다!,0,https://phinf.pstatic.net/checkout.phinf/20250719_289/1752904355878oy2hw_JPEG/1000015597.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
74,5,25.07.21.,nanh********,잘받았습니다 잘받았습니다 홈스타제품 항상 재구매합니다,0,https://phinf.pstatic.net/checkout.phinf/20250721_131/1753061920545jPUDm_JPEG/1000010883.jpg?type=f300_300,옵션: (욕실 2개+세면대)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
75,5,25.07.19.,yi****,"받자마자뿌리고 사진을 나중에 찍었네요
잘 내려갑니다!",0,https://phinf.pstatic.net/checkout.phinf/20250719_292/17528972765540pGP7_JPEG/1000002208.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
76,5,25.07.11.,call********,안방세면대 막혀있어서 붓고 2시간후 물을 내리니 넘 잘 내려가요~ 씽크대와 배수구에도 낼 해봐야겠어요,0,https://phinf.pstatic.net/checkout.phinf/20250711_284/1752239224156WxERp_JPEG/1752239162098.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
77,5,25.07.08.,wlgp****,"욕실용을 세면대용이라고 생각해서 잘못주문했어요. 세면대용이 필요했는데 다시 주문해야겠어요. 한달에 한번 여름철은 이주에
한번정도 해주면 좋더라구요.",0,https://phinf.pstatic.net/checkout.phinf/20250708_125/1751976786212h4msE_JPEG/image.jpg?type=f300_300,옵션: (욕실 2개+싱크대)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
78,5,25.07.13.,ethi*******,주기적으로 3종구매하여 청소합니다. 딱 원하는 구성으로 조합되어 고민없이 주문했어요.,0,https://phinf.pstatic.net/checkout.phinf/20250713_72/1752413846374CUKeO_JPEG/IMG_8601.jpeg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
79,5,25.07.16.,spdl*****,3종 세트 구비해 놓으니 든든하고 좋습니다! 세트로 판매해서 너무 좋네요 ㅎㅎㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250716_125/1752670533577gaG1B_JPEG/IMG_0957.jpeg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
80,5,25.07.19.,nanh********,잘받았습니다 감사합니다 써보고 재구매하겠습니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_38/1752908124067cRKb5_JPEG/1000010883.jpg?type=f300_300,옵션: (욕실 2개+세면대)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
81,5,25.07.20.,beat****,이거 너무 좋아요. 배관에 무리가 가지 않으면서 손도 안대고 깨끗해집니다..벌써 몇번째 구입인지 몰라용... 박스가 생각보다 크긴하지만 플라스틱컵? 같은거 없이 내용물만 팔아주셔도 좋을거같앙여. 한번쓰고 버리기 아깝더라구영,1,https://phinf.pstatic.net/checkout.phinf/20250720_257/1752983495705EypOs_JPEG/tmp_6012067410337023071.jpg?type=f300_300,옵션: 싱크대 배수관 클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
82,5,25.07.10.,brls****,"화장실 냄새가 너무 심해서 구매해봤습니다. 
처음에 거품이 많이 생성됐다가 시간이 지나면 사진처럼 조금만 남게 되네요. 하수구 청소를 주기적으로 해주려하는데 효과가 좋길 바랍니다.",0,https://phinf.pstatic.net/checkout.phinf/20250710_110/1752125373420Hm11r_JPEG/IMG_9644.jpeg?type=f300_300,옵션: 욕실 하수구 클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
83,4,25.05.17.,ydas****,"오랜만에 배수구 청소해보고 싶어서 세트로 구매하게 되었습니다! 이미 리뷰들을 봐서 클리너 하고도 더 청소 해야되는 걸 알았지만 막상 하려니 귀찮더라구요ㅎㅎ 혐짤이라 모자이크 해놨는데 전후 비교하면 확실히 깨끗해지긴 하지만 때 완전 제거는 안되고 불리는 정도는 되는 것 같아요. 클리너 없이 그냥 열어서 했으면 더 더러웠겠죠?😅
싱크대는 싱크대가 저희 집보다 커서 제공된 플라스틱 통이 들어가는 사이즈인 분들이 사는게 좋을 것 같고, 세면대는 만족스럽구요, 욕실은 가끔씩 써볼만한거 같아요.
아, 이거 쓸 때 환기 잘 해두고 하세요~ 세진 않지만 그래도 살짝 머리 아플 수 있어요!

근데 네이버 리뷰 왜 자꾸 제가 찍은 사진이 아니라고 나오나요.. 사진 올리다 엎을뻔 했어여",1,https://phinf.pstatic.net/checkout.phinf/20250517_169/1747408785133foYgA_JPEG/1000057007.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+락스1L,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
84,5,25.07.20.,hani****,"토요일 오후에 주문해서 일요일 오전에 받았어요! 배송 꼼꼼히해서 보내주셨습니다. 한달에 한번씩은 사용해주고 있어요, 변기는 자주 청소해서 쓸일 없을까 했는데 한번 해보니 아주 좋네요!",0,https://phinf.pstatic.net/checkout.phinf/20250720_272/17530113068377tVyK_JPEG/IMG_1950.jpeg?type=f300_300,옵션: 욕실 하수구 클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
85,5,25.07.20.,hani****,"토요일 오후에 주문해서 일요일 오전에 받았어요! 배송 꼼꼼히해서 보내주셨습니다. 한달에 한번씩은 사용해주고 있어요, 변기는 자주 청소해서 쓸일 없을까 했는데 한번 해보니 아주 좋네요!",0,https://phinf.pstatic.net/checkout.phinf/20250720_112/1753011178196APuDr_JPEG/IMG_1950.jpeg?type=f300_300,옵션: 변기클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
86,5,25.07.05.,teuk****,"화장실 아무리 청소해도 냄새 나서 배수관 때문이죠 ㅠㅠ 사람 불으면 비싼데 이거 한 세트 주문하면 모두 해결합니다! 변기, 세면대, 하수구 한꺼번에 하는 것 아주 추천합니다~~~",0,https://phinf.pstatic.net/checkout.phinf/20250705_156/17517013199633uOvI_JPEG/1000057437.jpg?type=f300_300,옵션: (욕실+세면대+변기)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
87,5,25.07.15.,ehru******,재재재 구매탬이에요 사용하면 여름에 초파리나 악취도 전혀 없어요 가격대가 있지만 가장 편리한 것 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_141/1752585996442iJmMs_JPEG/IMG_4010.jpeg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
88,5,25.07.08.,h_le****,심하게 막힌 하수구 뚫을때는 이것만한게 없네요 평균 규격보다 하수구가 작은 집에 살다보니까 자주 막히는데 이 제품이 가장 효과가 좋았어요 배송도 빠르고 가격도 저렴해서 좋네요,0,https://phinf.pstatic.net/checkout.phinf/20250708_48/17519511961390gPg9_JPEG/1000002352.jpg?type=f300_300,옵션: 욕실 하수구 클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
89,5,25.07.15.,nala****,배송이 빠르고 제품도 잘 도착했어요 두달에 한번 정도 쓰는데 쓰기도 편하고 효과도 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_43/1752580460742BOftF_JPEG/1000010355.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
90,4,25.07.20.,plgo******,나쁘지 않은 것 같아요. 그래도 손으로 청소하는 부분은 필요합니다..!,0,https://phinf.pstatic.net/checkout.phinf/20250720_33/1753016822791ot9X9_JPEG/image.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
91,5,25.07.04.,tj****,"세면대용만 먼저 써봤는데 효과 있는거 같아요!
다른 것들도 기대가 됩니다",0,https://phinf.pstatic.net/checkout.phinf/20250704_220/1751637682839SFoNS_JPEG/IMG_4170.jpeg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
92,5,25.07.10.,brls****,"이전에 변기와 세면대에 한번 써봤는데 효과가 괜찮아서 재구매했습니다. 
효과가 좋길 바랍니다.",0,https://phinf.pstatic.net/checkout.phinf/20250710_164/175212561174610jqW_JPEG/IMG_9644.jpeg?type=f300_300,옵션: (변기 2개+세면대)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
93,5,25.07.19.,love****,여름철에는 더 자주 필요한 제품들이죠! 잘 쓰고 있습니다!,0,https://phinf.pstatic.net/checkout.phinf/20250719_289/1752904355878oy2hw_JPEG/1000015597.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
94,5,25.07.21.,nanh********,잘받았습니다 잘받았습니다 홈스타제품 항상 재구매합니다,0,https://phinf.pstatic.net/checkout.phinf/20250721_131/1753061920545jPUDm_JPEG/1000010883.jpg?type=f300_300,옵션: (욕실 2개+세면대)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
95,5,25.07.19.,yi****,"받자마자뿌리고 사진을 나중에 찍었네요
잘 내려갑니다!",0,https://phinf.pstatic.net/checkout.phinf/20250719_292/17528972765540pGP7_JPEG/1000002208.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
96,5,25.07.11.,call********,안방세면대 막혀있어서 붓고 2시간후 물을 내리니 넘 잘 내려가요~ 씽크대와 배수구에도 낼 해봐야겠어요,0,https://phinf.pstatic.net/checkout.phinf/20250711_284/1752239224156WxERp_JPEG/1752239162098.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
97,5,25.07.08.,wlgp****,"욕실용을 세면대용이라고 생각해서 잘못주문했어요. 세면대용이 필요했는데 다시 주문해야겠어요. 한달에 한번 여름철은 이주에
한번정도 해주면 좋더라구요.",0,https://phinf.pstatic.net/checkout.phinf/20250708_125/1751976786212h4msE_JPEG/image.jpg?type=f300_300,옵션: (욕실 2개+싱크대)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
98,5,25.07.13.,ethi*******,주기적으로 3종구매하여 청소합니다. 딱 원하는 구성으로 조합되어 고민없이 주문했어요.,0,https://phinf.pstatic.net/checkout.phinf/20250713_72/1752413846374CUKeO_JPEG/IMG_8601.jpeg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
99,5,25.07.16.,spdl*****,3종 세트 구비해 놓으니 든든하고 좋습니다! 세트로 판매해서 너무 좋네요 ㅎㅎㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250716_125/1752670533577gaG1B_JPEG/IMG_0957.jpeg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
100,5,25.07.19.,nanh********,잘받았습니다 감사합니다 써보고 재구매하겠습니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_38/1752908124067cRKb5_JPEG/1000010883.jpg?type=f300_300,옵션: (욕실 2개+세면대)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
101,5,25.07.20.,beat****,이거 너무 좋아요. 배관에 무리가 가지 않으면서 손도 안대고 깨끗해집니다..벌써 몇번째 구입인지 몰라용... 박스가 생각보다 크긴하지만 플라스틱컵? 같은거 없이 내용물만 팔아주셔도 좋을거같앙여. 한번쓰고 버리기 아깝더라구영,1,https://phinf.pstatic.net/checkout.phinf/20250720_257/1752983495705EypOs_JPEG/tmp_6012067410337023071.jpg?type=f300_300,옵션: 싱크대 배수관 클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
102,5,25.07.10.,brls****,"화장실 냄새가 너무 심해서 구매해봤습니다. 
처음에 거품이 많이 생성됐다가 시간이 지나면 사진처럼 조금만 남게 되네요. 하수구 청소를 주기적으로 해주려하는데 효과가 좋길 바랍니다.",0,https://phinf.pstatic.net/checkout.phinf/20250710_110/1752125373420Hm11r_JPEG/IMG_9644.jpeg?type=f300_300,옵션: 욕실 하수구 클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
103,4,25.05.17.,ydas****,"오랜만에 배수구 청소해보고 싶어서 세트로 구매하게 되었습니다! 이미 리뷰들을 봐서 클리너 하고도 더 청소 해야되는 걸 알았지만 막상 하려니 귀찮더라구요ㅎㅎ 혐짤이라 모자이크 해놨는데 전후 비교하면 확실히 깨끗해지긴 하지만 때 완전 제거는 안되고 불리는 정도는 되는 것 같아요. 클리너 없이 그냥 열어서 했으면 더 더러웠겠죠?😅
싱크대는 싱크대가 저희 집보다 커서 제공된 플라스틱 통이 들어가는 사이즈인 분들이 사는게 좋을 것 같고, 세면대는 만족스럽구요, 욕실은 가끔씩 써볼만한거 같아요.
아, 이거 쓸 때 환기 잘 해두고 하세요~ 세진 않지만 그래도 살짝 머리 아플 수 있어요!

근데 네이버 리뷰 왜 자꾸 제가 찍은 사진이 아니라고 나오나요.. 사진 올리다 엎을뻔 했어여",1,https://phinf.pstatic.net/checkout.phinf/20250517_169/1747408785133foYgA_JPEG/1000057007.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+락스1L,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
104,5,25.07.20.,hani****,"토요일 오후에 주문해서 일요일 오전에 받았어요! 배송 꼼꼼히해서 보내주셨습니다. 한달에 한번씩은 사용해주고 있어요, 변기는 자주 청소해서 쓸일 없을까 했는데 한번 해보니 아주 좋네요!",0,https://phinf.pstatic.net/checkout.phinf/20250720_272/17530113068377tVyK_JPEG/IMG_1950.jpeg?type=f300_300,옵션: 욕실 하수구 클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
105,5,25.07.20.,hani****,"토요일 오후에 주문해서 일요일 오전에 받았어요! 배송 꼼꼼히해서 보내주셨습니다. 한달에 한번씩은 사용해주고 있어요, 변기는 자주 청소해서 쓸일 없을까 했는데 한번 해보니 아주 좋네요!",0,https://phinf.pstatic.net/checkout.phinf/20250720_112/1753011178196APuDr_JPEG/IMG_1950.jpeg?type=f300_300,옵션: 변기클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
106,5,25.07.05.,teuk****,"화장실 아무리 청소해도 냄새 나서 배수관 때문이죠 ㅠㅠ 사람 불으면 비싼데 이거 한 세트 주문하면 모두 해결합니다! 변기, 세면대, 하수구 한꺼번에 하는 것 아주 추천합니다~~~",0,https://phinf.pstatic.net/checkout.phinf/20250705_156/17517013199633uOvI_JPEG/1000057437.jpg?type=f300_300,옵션: (욕실+세면대+변기)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
107,5,25.07.15.,ehru******,재재재 구매탬이에요 사용하면 여름에 초파리나 악취도 전혀 없어요 가격대가 있지만 가장 편리한 것 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_141/1752585996442iJmMs_JPEG/IMG_4010.jpeg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
108,5,25.07.08.,h_le****,심하게 막힌 하수구 뚫을때는 이것만한게 없네요 평균 규격보다 하수구가 작은 집에 살다보니까 자주 막히는데 이 제품이 가장 효과가 좋았어요 배송도 빠르고 가격도 저렴해서 좋네요,0,https://phinf.pstatic.net/checkout.phinf/20250708_48/17519511961390gPg9_JPEG/1000002352.jpg?type=f300_300,옵션: 욕실 하수구 클리너 3개+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
109,5,25.07.15.,nala****,배송이 빠르고 제품도 잘 도착했어요 두달에 한번 정도 쓰는데 쓰기도 편하고 효과도 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_43/1752580460742BOftF_JPEG/1000010355.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
110,4,25.07.20.,plgo******,나쁘지 않은 것 같아요. 그래도 손으로 청소하는 부분은 필요합니다..!,0,https://phinf.pstatic.net/checkout.phinf/20250720_33/1753016822791ot9X9_JPEG/image.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
111,5,25.07.04.,tj****,"세면대용만 먼저 써봤는데 효과 있는거 같아요!
다른 것들도 기대가 됩니다",0,https://phinf.pstatic.net/checkout.phinf/20250704_220/1751637682839SFoNS_JPEG/IMG_4170.jpeg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
112,5,25.07.10.,brls****,"이전에 변기와 세면대에 한번 써봤는데 효과가 괜찮아서 재구매했습니다. 
효과가 좋길 바랍니다.",0,https://phinf.pstatic.net/checkout.phinf/20250710_164/175212561174610jqW_JPEG/IMG_9644.jpeg?type=f300_300,옵션: (변기 2개+세면대)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
113,5,25.07.19.,love****,여름철에는 더 자주 필요한 제품들이죠! 잘 쓰고 있습니다!,0,https://phinf.pstatic.net/checkout.phinf/20250719_289/1752904355878oy2hw_JPEG/1000015597.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
114,5,25.07.21.,nanh********,잘받았습니다 잘받았습니다 홈스타제품 항상 재구매합니다,0,https://phinf.pstatic.net/checkout.phinf/20250721_131/1753061920545jPUDm_JPEG/1000010883.jpg?type=f300_300,옵션: (욕실 2개+세면대)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
115,5,25.07.19.,yi****,"받자마자뿌리고 사진을 나중에 찍었네요
잘 내려갑니다!",0,https://phinf.pstatic.net/checkout.phinf/20250719_292/17528972765540pGP7_JPEG/1000002208.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
116,5,25.07.11.,call********,안방세면대 막혀있어서 붓고 2시간후 물을 내리니 넘 잘 내려가요~ 씽크대와 배수구에도 낼 해봐야겠어요,0,https://phinf.pstatic.net/checkout.phinf/20250711_284/1752239224156WxERp_JPEG/1752239162098.jpg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
117,5,25.07.08.,wlgp****,"욕실용을 세면대용이라고 생각해서 잘못주문했어요. 세면대용이 필요했는데 다시 주문해야겠어요. 한달에 한번 여름철은 이주에
한번정도 해주면 좋더라구요.",0,https://phinf.pstatic.net/checkout.phinf/20250708_125/1751976786212h4msE_JPEG/image.jpg?type=f300_300,옵션: (욕실 2개+싱크대)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
118,5,25.07.13.,ethi*******,주기적으로 3종구매하여 청소합니다. 딱 원하는 구성으로 조합되어 고민없이 주문했어요.,0,https://phinf.pstatic.net/checkout.phinf/20250713_72/1752413846374CUKeO_JPEG/IMG_8601.jpeg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
119,5,25.07.16.,spdl*****,3종 세트 구비해 놓으니 든든하고 좋습니다! 세트로 판매해서 너무 좋네요 ㅎㅎㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250716_125/1752670533577gaG1B_JPEG/IMG_0957.jpeg?type=f300_300,옵션: (싱크대+세면대+욕실)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
120,5,25.07.19.,nanh********,잘받았습니다 감사합니다 써보고 재구매하겠습니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_38/1752908124067cRKb5_JPEG/1000010883.jpg?type=f300_300,옵션: (욕실 2개+세면대)+막힌곳펑펑,홈스타 맥스클리너 3종 세트+막힌곳을 부탁해 펑펑
